#Formato de arquivo: palavra,sPoint,nPoint,yPoint

oxigenioO2,3,2,1
carbonoC,3,2,1
hidrogenioH2,3,2,1
aguaH2O,3,2,1
amoniaNH3,3,2,1
metanoCH4,3,1,2
etanolC2H5OH,3,2,1
co2,3,2,1
o3,3,2,1
ch4,3,1,2
pb,3,1,2
hg,3,1,2
cd,3,1,2
so2,3,1,2
no2,3,1,2
no3,3,1,2
h2so4,3,1,2
c6h6,3,1,2
ph,3,2,1
ozonio,3,2,1
nitrato,3,1,2
cfc,3,2,1
lixo,3,2,1
plomo,3,1,2
acido,3,1,2
base,3,2,1
solvente,3,2,1
tolueno,3,2,1
benzeno,3,1,2
cloro,3,2,1
iodo,3,2,1
bromo,3,2,1
sodioNa,3,2,1
potassioK,3,2,1
nitrogenioN,3,2,1
oxidos,3,2,1
aerosol,3,2,1
oleo,3,2,1
etenoC2H4,3,2,1
plomoPb,3,1,2
cobreCu,3,2,1
ferroFe,3,2,1
zincoZn,3,2,1
acidos,3,1,2
bases,3,2,1
gas,3,2,1
eutrofia,3,2,1
poluicao,3,2,1
radonRn,3,2,1
fluoF,3,1,2
radical,3,2,1
fotolise,3,2,1
biogas,3,2,1
poluente,3,2,1
fumaca,3,1,2
poeira,3,2,1
pesticida,3,2,1
herbicida,3,2,1
solido,3,2,1
liquido,3,2,1
gasoso,3,2,1
molecula,3,2,1
atomo,3,2,1
isotopo,3,2,1
liga,3,2,1
mistura,3,2,1
reacao,3,2,1
composto,3,2,1
residuos,3,2,1
catodo,3,2,1
anodo,3,2,1
energia,3,2,1
fossil,3,2,1
filtro,3,2,1
biomassa,3,2,1
bioenergia,3,2,1
plasma,3,2,1
reator,3,2,1
catalise,3,2,1
fluido,3,2,1
levedura,3,2,1
enzima,3,2,1
aminoacido,3,2,1
proteina,3,2,1
dna,3,2,1
rna,3,2,1
sais,3,2,1
phosforoP,3,1,2
sulfatoSO4,3,2,1
perclorato,3,2,1
mercurioHg,3,1,2
biodegradavel,3,2,1
sustentavel,3,2,1
toxina,3,1,2
lodo,3,2,1
detrito,3,2,1
impacto,3,2,1
meioambiente,3,2,1
calcioCa,3,2,1
silicioSi,3,2,1
grafiteC,3,2,1
carbonato,3,2,1
sulfeto,3,1,2
hidroxila,3,2,1
fosfato,3,2,1
fotossintese,3,2,1
compostagem,3,2,1
evaporacao,3,2,1
precipitacao,3,2,1
condensacao,3,2,1
solido,3,2,1
liquido,3,2,1
gasoso,3,2,1
nevoa,3,2,1
aquecimento,3,2,1
destilacao,3,2,1
purificacao,3,2,1
irradiação,3,2,1
pressao,3,2,1
densidade,3,2,1
volume,3,2,1
massa,3,2,1
peso,3,2,1
caloria,3,2,1
joule,3,2,1
kilowatt,3,2,1
mol,3,2,1
molaridade,3,2,1
osmose,3,2,1
difusao,3,2,1
fossil,3,2,1
diesel,3,2,1
gasolina,3,2,1
etanolC2H5OH,3,2,1
biogas,3,2,1
polimero,3,2,1
plastico,3,2,1
reciclagem,3,2,1
contaminacao,3,2,1
radiaçao,3,2,1
particulas,3,2,1
smog,3,1,2
radiao,3,1,2
lixiviacao,3,2,1
metanoCH4,3,1,2
fotovoltaico,3,2,1
cloroCl,3,1,2
bromoBr,3,2,1
plutonioPu,3,2,1
uranioU,3,1,2
cobaltoCo,3,2,1
arsenioAs,3,1,2
cromoCr,3,2,1
niquelNi,3,2,1
aluminioAl,3,2,1
titânioTi,3,2,1
molibdenioMo,3,2,1
carboneto,3,2,1
cianeto,3,1,2
toxicidade,3,1,2
radiaoRn,3,2,1
nox,3,1,2
filtros,3,2,1
refinaria,3,2,1
industria,3,2,1
desmatamento,3,2,1
erosao,3,2,1
dioxinas,3,1,2
pecuaria,3,2,1
nitritoNO2,3,1,2
alcalino,3,2,1
ácido,3,1,2
residuo,3,1,2
radiao,3,2,1
